Date,Site,Avg Lice Count (Mobile),Avg Lice Count (Adult),Wounds (%),Biomass (tonnes),Next Feed Date,Next Harvest Date
2024-01-31,Site A,1.0836495253604557,0.808580265637725,2.2349427840797427,350.0,2024-05-31,2024-11-30
2024-02-29,Site A,0.6297315893868872,0.7623608689832393,4.008061040674188,365.45454545454544,2024-05-31,2024-11-30
2024-03-31,Site A,1.3249223270232544,0.7540573719152994,1.676100703284754,380.90909090909093,2024-05-31,2024-11-30
2024-04-30,Site A,0.8491424217376483,0.30257935775826894,1.3894209040353616,396.3636363636364,2024-05-31,2024-11-30
2024-05-31,Site A,1.1993763229232992,0.37557485894091736,3.013425856556675,411.8181818181818,2024-05-31,2024-11-30
2024-06-30,Site A,1.419389969925321,0.45430080832499614,3.1590978869424715,427.27272727272725,2024-05-31,2024-11-30
2024-07-31,Site A,1.0879547462212882,0.39273086912885313,3.4350104042072345,442.72727272727275,2024-05-31,2024-11-30
2024-08-31,Site A,1.3403564147118598,0.5190953479116031,4.158521982325919,458.1818181818182,2024-05-31,2024-11-30
2024-09-30,Site A,1.2018505080475492,0.990409165513878,4.15621273543033,473.6363636363636,2024-05-31,2024-11-30
2024-10-31,Site A,1.4153757899549753,0.6268833478347875,4.322676592642402,489.0909090909091,2024-05-31,2024-11-30
2024-11-30,Site A,0.718349891530964,0.9112514913361962,4.160087848468831,504.54545454545456,2024-05-31,2024-11-30
2024-12-31,Site A,1.424333904174269,0.30962998351314835,1.6522468071484608,520.0,2024-05-31,2024-11-30
